,date_month,repo_id,count_stars,last_year_count_stars,yoy_growth,repo_id_1,repo_name,start_date,end_date
52,2018-03-01,14579099,153,93.0,0.6451612903225807,14579099,plotly/plotly.py,2015-10-12 00:41:25,
53,2018-04-01,14579099,147,74.0,0.9864864864864864,14579099,plotly/plotly.py,2015-10-12 00:41:25,
54,2018-05-01,14579099,111,83.0,0.3373493975903614,14579099,plotly/plotly.py,2015-10-12 00:41:25,
55,2018-06-01,14579099,143,102.0,0.4019607843137254,14579099,plotly/plotly.py,2015-10-12 00:41:25,
56,2018-07-01,14579099,174,107.0,0.6261682242990654,14579099,plotly/plotly.py,2015-10-12 00:41:25,
57,2018-08-01,14579099,130,114.0,0.14035087719298245,14579099,plotly/plotly.py,2015-10-12 00:41:25,
58,2018-09-01,14579099,101,75.0,0.3466666666666667,14579099,plotly/plotly.py,2015-10-12 00:41:25,
59,2018-10-01,14579099,122,109.0,0.11926605504587151,14579099,plotly/plotly.py,2015-10-12 00:41:25,
60,2018-11-01,14579099,114,120.0,-0.050000000000000044,14579099,plotly/plotly.py,2015-10-12 00:41:25,
61,2018-12-01,14579099,89,135.0,-0.3407407407407408,14579099,plotly/plotly.py,2015-10-12 00:41:25,
62,2019-01-01,14579099,145,153.0,-0.05228758169934644,14579099,plotly/plotly.py,2015-10-12 00:41:25,
63,2019-02-01,14579099,121,126.0,-0.03968253968253965,14579099,plotly/plotly.py,2015-10-12 00:41:25,
64,2019-03-01,14579099,168,153.0,0.0980392156862746,14579099,plotly/plotly.py,2015-10-12 00:41:25,
65,2019-04-01,14579099,140,147.0,-0.04761904761904767,14579099,plotly/plotly.py,2015-10-12 00:41:25,
66,2019-05-01,14579099,142,111.0,0.2792792792792793,14579099,plotly/plotly.py,2015-10-12 00:41:25,
67,2019-06-01,14579099,111,143.0,-0.22377622377622375,14579099,plotly/plotly.py,2015-10-12 00:41:25,
68,2019-07-01,14579099,172,174.0,-0.011494252873563204,14579099,plotly/plotly.py,2015-10-12 00:41:25,
69,2019-08-01,14579099,136,130.0,0.04615384615384621,14579099,plotly/plotly.py,2015-10-12 00:41:25,
70,2019-09-01,14579099,130,101.0,0.28712871287128716,14579099,plotly/plotly.py,2015-10-12 00:41:25,
71,2019-10-01,14579099,133,122.0,0.0901639344262295,14579099,plotly/plotly.py,2015-10-12 00:41:25,
72,2019-11-01,14579099,137,114.0,0.20175438596491224,14579099,plotly/plotly.py,2015-10-12 00:41:25,
73,2019-12-01,14579099,157,89.0,0.7640449438202248,14579099,plotly/plotly.py,2015-10-12 00:41:25,
74,2020-01-01,14579099,125,145.0,-0.13793103448275867,14579099,plotly/plotly.py,2015-10-12 00:41:25,
75,2020-02-01,14579099,140,121.0,0.15702479338842967,14579099,plotly/plotly.py,2015-10-12 00:41:25,
76,2020-03-01,14579099,199,168.0,0.18452380952380953,14579099,plotly/plotly.py,2015-10-12 00:41:25,
77,2020-04-01,14579099,255,140.0,0.8214285714285714,14579099,plotly/plotly.py,2015-10-12 00:41:25,
78,2020-05-01,14579099,375,142.0,1.640845070422535,14579099,plotly/plotly.py,2015-10-12 00:41:25,
79,2020-06-01,14579099,299,111.0,1.6936936936936937,14579099,plotly/plotly.py,2015-10-12 00:41:25,
80,2020-07-01,14579099,276,172.0,0.6046511627906976,14579099,plotly/plotly.py,2015-10-12 00:41:25,
81,2020-08-01,14579099,215,136.0,0.5808823529411764,14579099,plotly/plotly.py,2015-10-12 00:41:25,
82,2020-09-01,14579099,222,130.0,0.7076923076923076,14579099,plotly/plotly.py,2015-10-12 00:41:25,
83,2020-10-01,14579099,217,133.0,0.631578947368421,14579099,plotly/plotly.py,2015-10-12 00:41:25,
84,2020-11-01,14579099,255,137.0,0.8613138686131387,14579099,plotly/plotly.py,2015-10-12 00:41:25,
85,2020-12-01,14579099,239,157.0,0.5222929936305734,14579099,plotly/plotly.py,2015-10-12 00:41:25,
86,2021-01-01,14579099,262,125.0,1.096,14579099,plotly/plotly.py,2015-10-12 00:41:25,
87,2021-02-01,14579099,221,140.0,0.5785714285714285,14579099,plotly/plotly.py,2015-10-12 00:41:25,
88,2021-03-01,14579099,247,199.0,0.2412060301507537,14579099,plotly/plotly.py,2015-10-12 00:41:25,
89,2021-04-01,14579099,210,255.0,-0.17647058823529416,14579099,plotly/plotly.py,2015-10-12 00:41:25,
90,2021-05-01,14579099,172,375.0,-0.5413333333333333,14579099,plotly/plotly.py,2015-10-12 00:41:25,
91,2021-06-01,14579099,209,299.0,-0.3010033444816054,14579099,plotly/plotly.py,2015-10-12 00:41:25,
92,2021-07-01,14579099,179,276.0,-0.35144927536231885,14579099,plotly/plotly.py,2015-10-12 00:41:25,
93,2021-08-01,14579099,182,215.0,-0.15348837209302324,14579099,plotly/plotly.py,2015-10-12 00:41:25,
94,2021-09-01,14579099,176,222.0,-0.2072072072072072,14579099,plotly/plotly.py,2015-10-12 00:41:25,
95,2021-10-01,14579099,83,217.0,-0.6175115207373272,14579099,plotly/plotly.py,2015-10-12 00:41:25,
96,2021-11-01,14579099,181,255.0,-0.2901960784313725,14579099,plotly/plotly.py,2015-10-12 00:41:25,
